iter	RMSE
0	343183.4074
1	325768.0218
2	309320.6702
3	293344.4643
4	279415.7213
5	265542.8874
6	252646.7698
7	240172.8141
8	229242.1122
9	218141.3786
10	208057.8285
11	198913.7254
12	189851.1339
13	180911.3067
14	172558.1997
15	165090.2499
16	157939.17
17	150549.8535
18	143974.7602
19	137517.1239
20	131495.0803
21	126169.6484
22	120744.7362
23	115816.387
24	111151.2002
25	106621.5717
26	102598.2904
27	98643.1177
28	94717.84091
29	91318.37732
30	87929.56383
31	84513.0265
32	81775.56614
33	78903.28129
34	76208.38315
35	73666.87785
36	71263.73183
37	69166.49615
38	66942.65068
39	64948.56438
40	63240.01835
41	61370.89733
42	59440.38918
43	57717.81022
44	56207.72549
45	54700.67501
46	53205.89927
47	51838.891
48	50513.27547
49	49254.56202
50	48329.64845
51	47111.83115
52	46167.05278
53	45193.30565
54	44415.87825
55	43353.54525
56	42500.69488
57	41805.76316
58	41065.59074
59	40374.51959
60	39813.81052
61	39155.54644
62	38536.31538
63	37810.14969
64	37198.11772
65	36754.73422
66	36134.118
67	35939.46555
68	35842.54629
69	35626.36533
70	35060.15274
71	34769.39955
72	34272.27387
73	34042.73917
74	33834.34279
75	33512.60781
76	33436.03748
77	32932.95201
78	32470.74005
79	32022.3894
80	31782.85092
81	31603.78486
82	31158.38537
83	31101.05924
84	30939.47549
85	30557.15633
86	30395.80836
87	30019.64108
88	29962.41991
89	29568.84582
90	29518.76144
91	29281.96332
92	29131.91013
93	28799.92238
94	28511.66196
95	28109.45477
96	27832.29246
97	27573.66062
98	27248.86963
99	27035.25974
100	26790.76336
101	26752.52009
102	26468.83928
103	26362.08207
104	26103.65234
105	25997.33948
106	25967.54956
107	25668.90777
108	25639.39192
109	25562.29323
110	25320.97202
111	24992.31499
112	24835.91073
113	24748.27049
114	24452.93575
115	24211.30943
116	24113.13637
117	23815.06861
118	23595.55493
119	23357.6274
120	23274.84771
121	23057.61791
122	22944.43285
123	22863.24808
124	22688.2528
125	22513.91063
126	22313.38329
127	22240.85442
128	22091.56483
129	21899.12891
130	21692.03355
131	21533.75852
132	21418.64067
133	21404.96608
134	21234.88135
135	21155.68337
136	21040.72576
137	20885.23372
138	20823.51397
139	20654.09982
140	20580.31093
141	20526.72799
142	20322.35191
143	20247.041
144	20195.74308
145	20153.36709
146	20033.29973
147	19986.51521
148	19934.65892
149	19817.58834
150	19662.23891
151	19588.04636
152	19547.79478
153	19455.22984
154	19416.09032
155	19375.31133
156	19285.7154
157	19127.73189
158	19089.64644
159	19052.77213
160	18949.29828
161	18911.87254
162	18747.0074
163	18664.5759
164	18563.54987
165	18459.44874
166	18294.18562
167	18215.67813
168	18096.63911
169	17958.33552
170	17817.93238
171	17734.33144
172	17593.8863
173	17569.98565
174	17509.44367
175	17427.62369
176	17403.79439
177	17329.74124
178	17245.92022
179	17129.90324
180	17029.66296
181	16927.12528
182	16831.67028
183	16736.06374
184	16658.00935
185	16582.50565
186	16488.10297
187	16421.03222
188	16357.57095
189	16265.87531
190	16179.93623
191	16108.44099
192	16021.72393
193	15963.30165
194	15895.66014
195	15861.98923
196	15809.50179
197	15727.96076
198	15664.33712
199	15613.68585
200	15563.94613
201	15493.17416
202	15427.0127
203	15389.46879
204	15323.98246
205	15278.60568
206	15224.6823
207	15168.09321
208	15115.19545
209	15057.16208
210	14992.62766
211	14938.16218
212	14883.55934
213	14827.18796
214	14787.59797
215	14723.28302
216	14674.58447
217	14617.30286
218	14570.79766
219	14519.38514
220	14471.8593
221	14417.65003
222	14376.11988
223	14318.32109
224	14281.00002
225	14237.62857
226	14177.0565
227	14128.73787
228	14080.18056
229	14042.60466
230	13989.7761
231	13941.27087
232	13906.58649
233	13866.76964
234	13839.10927
235	13808.38417
236	13778.3107
237	13752.68607
238	13722.38667
239	13675.06695
240	13627.84693
241	13585.98868
242	13551.79892
243	13525.37823
244	13493.75623
245	13469.56537
246	13435.08176
247	13400.43283
248	13394.2164
249	13385.31353
250	13378.62984
251	13349.86078
252	13322.88061
253	13298.04656
254	13288.07793
255	13256.7294
256	13248.6835
257	13218.1234
258	13174.78904
259	13153.39803
260	13118.93462
261	13111.81422
262	13086.37674
263	13050.45353
264	13043.70906
265	13010.50627
266	12976.25613
267	12953.47678
268	12920.94629
269	12914.67563
270	12876.93346
271	12851.78531
272	12821.08147
273	12798.51177
274	12774.92353
275	12750.21122
276	12725.81935
277	12694.62508
278	12663.45277
279	12635.04074
280	12610.54618
281	12583.74016
282	12557.78827
283	12534.36937
284	12501.31463
285	12468.98357
286	12444.06815
287	12426.28038
288	12395.36717
289	12364.14282
290	12339.28577
291	12313.00629
292	12286.09912
293	12279.82026
294	12273.75669
295	12245.65129
296	12232.00151
297	12206.23534
298	12201.5269
299	12170.89631
300	12141.02038
301	12118.10492
302	12106.81268
303	12080.3212
304	12050.30493
305	12023.96996
306	12003.16336
307	11971.61706
308	11968.95305
309	11944.94909
310	11917.03489
311	11889.92943
312	11870.01905
313	11866.60648
314	11845.50128
315	11838.53793
316	11813.27506
317	11782.27547
318	11775.87676
319	11750.00188
320	11726.29859
321	11701.96403
322	11680.07953
323	11653.67312
324	11636.62305
325	11632.48014
326	11609.87132
327	11585.48967
328	11560.72282
329	11534.92263
330	11520.36032
331	11495.76574
332	11476.14505
333	11448.12215
334	11426.93793
335	11400.7803
336	11373.68105
337	11350.26459
338	11332.99641
339	11311.47853
340	11292.00927
341	11273.14757
342	11260.20203
343	11236.34713
344	11212.68597
345	11188.77499
346	11172.46919
347	11145.62019
348	11128.07161
349	11104.89868
350	11082.43736
351	11062.08458
352	11036.3233
353	11025.30825
354	11005.79395
355	10985.8024
356	10970.5144
357	10950.42724
358	10938.63381
359	10923.07364
360	10898.36843
361	10878.06909
362	10862.87418
363	10853.82583
364	10834.48107
365	10809.80284
366	10792.8374
367	10771.26864
368	10752.93511
369	10735.03858
370	10711.23893
371	10688.10062
372	10665.95978
373	10664.8324
374	10659.26139
375	10642.22505
376	10630.53558
377	10615.61733
378	10596.70277
379	10576.94788
380	10555.80923
381	10537.90968
382	10516.89077
383	10497.5039
384	10479.70192
385	10452.71197
386	10434.19392
387	10420.04141
388	10408.06803
389	10391.5485
390	10375.6266
391	10363.71038
392	10338.16813
393	10337.08377
394	10319.29681
395	10302.19513
396	10268.3404
397	10254.93993
398	10240.53705
399	10226.84862
400	10215.68386
401	10201.52368
402	10186.06329
403	10168.09075
404	10153.41541
405	10133.88161
406	10117.23259
407	10098.43524
408	10081.80093
409	10071.06247
410	10059.30692
411	10043.939
412	10030.55617
413	10010.34399
414	10002.32174
415	9988.263544
416	9976.8681
417	9960.881068
418	9947.229334
419	9926.870108
420	9908.314998
421	9894.423051
422	9878.278461
423	9865.606294
424	9851.695117
425	9838.626867
426	9818.930027
427	9800.078944
428	9787.033217
429	9777.808688
430	9767.565766
431	9756.873094
432	9745.702038
433	9729.303008
434	9713.138772
435	9701.245201
436	9692.929373
437	9685.795865
438	9672.878189
439	9659.657549
440	9646.429823
441	9632.160349
442	9618.855231
443	9601.802502
444	9591.657867
445	9580.350614
446	9566.893776
447	9554.794033
448	9541.442139
449	9525.625077
450	9511.587847
451	9502.769743
452	9493.544407
453	9483.639097
454	9471.486722
455	9461.761364
456	9444.089083
457	9432.642849
458	9419.843885
459	9404.618132
460	9389.259428
461	9378.758129
462	9361.874404
463	9354.271325
464	9342.866529
465	9329.714452
466	9318.748193
467	9306.566432
468	9302.046533
469	9284.008382
470	9267.391523
471	9261.62187
472	9256.585528
473	9243.366356
474	9230.577199
475	9221.497958
476	9211.205279
477	9199.261822
478	9186.237529
479	9170.91897
480	9154.090371
481	9144.13117
482	9132.035259
483	9128.557354
484	9122.674985
485	9108.619088
